,month,carrier_id,carrier_name,total_fuel_cost,year
337,4,AS,Alaska Airlines Inc.,51784926.0,2012
338,4,B6,JetBlue Airways,79388437.0,2012
339,4,DL,Delta Air Lines Inc.,429540020.0,2012
340,4,NK,Spirit Air Lines,32468178.0,2012
341,4,UA,United Air Lines Inc.,308674504.0,2012
342,4,WN,Southwest Airlines Co.,262687589.0,2012
343,5,AA,American Airlines Inc.,407824957.0,2012
344,5,AS,Alaska Airlines Inc.,57737641.0,2012
345,5,B6,JetBlue Airways,91789656.0,2012
346,5,DL,Delta Air Lines Inc.,452129965.0,2012
347,5,NK,Spirit Air Lines,39436237.0,2012
348,5,UA,United Air Lines Inc.,370830564.0,2012
349,5,WN,Southwest Airlines Co.,285523831.0,2012
350,6,AA,American Airlines Inc.,460306736.0,2012
351,6,AS,Alaska Airlines Inc.,65645569.0,2012
352,6,B6,JetBlue Airways,102954211.0,2012
353,6,DL,Delta Air Lines Inc.,963444631.0,2012
354,6,NK,Spirit Air Lines,41287248.0,2012
355,6,UA,United Air Lines Inc.,423352591.0,2012
356,6,WN,Southwest Airlines Co.,310700426.0,2012
357,7,AA,American Airlines Inc.,477298830.0,2012
358,7,AS,Alaska Airlines Inc.,66198034.0,2012
359,7,B6,JetBlue Airways,105712879.0,2012
360,7,DL,Delta Air Lines Inc.,493229453.0,2012
361,7,NK,Spirit Air Lines,42442868.0,2012
362,7,UA,United Air Lines Inc.,445707176.0,2012
363,7,WN,Southwest Airlines Co.,319188062.0,2012
364,8,AA,American Airlines Inc.,437594283.0,2012
365,8,AS,Alaska Airlines Inc.,62376704.0,2012
366,8,B6,JetBlue Airways,98482169.0,2012
367,8,DL,Delta Air Lines Inc.,501635299.0,2012
368,8,NK,Spirit Air Lines,40967959.0,2012
369,8,UA,United Air Lines Inc.,413360687.0,2012
370,8,WN,Southwest Airlines Co.,295793183.0,2012
371,9,AA,American Airlines Inc.,399447717.0,2012
372,9,AS,Alaska Airlines Inc.,55382260.0,2012
373,9,B6,JetBlue Airways,88900518.0,2012
374,9,DL,Delta Air Lines Inc.,404304319.0,2012
375,9,NK,Spirit Air Lines,38433033.0,2012
376,9,UA,United Air Lines Inc.,383255846.0,2012
377,9,WN,Southwest Airlines Co.,283361784.0,2012
378,10,AA,American Airlines Inc.,422850406.0,2012
379,10,AS,Alaska Airlines Inc.,60371031.0,2012
380,10,B6,JetBlue Airways,92460910.0,2012
381,10,DL,Delta Air Lines Inc.,476736882.0,2012
382,10,NK,Spirit Air Lines,41066618.0,2012
383,10,UA,United Air Lines Inc.,409684092.0,2012
384,10,WN,Southwest Airlines Co.,300044113.0,2012
385,11,AA,American Airlines Inc.,391678109.0,2012
386,11,AS,Alaska Airlines Inc.,61002508.0,2012
387,11,B6,JetBlue Airways,92797157.0,2012
388,11,DL,Delta Air Lines Inc.,385905388.0,2012
389,11,NK,Spirit Air Lines,39655872.0,2012
390,11,UA,United Air Lines Inc.,369816083.0,2012
391,11,WN,Southwest Airlines Co.,298346362.0,2012
392,12,AA,American Airlines Inc.,445275123.0,2012
393,12,AS,Alaska Airlines Inc.,68085614.0,2012
394,12,B6,JetBlue Airways,106084293.0,2012
395,12,DL,Delta Air Lines Inc.,435331872.0,2012
396,12,NK,Spirit Air Lines,45812193.0,2012
397,12,UA,United Air Lines Inc.,415049145.0,2012
398,12,WN,Southwest Airlines Co.,312741891.0,2012
0,1,AA,American Airlines Inc.,635543959.0,2013
1,1,AS,Alaska Airlines Inc.,108387159.0,2013
2,1,B6,JetBlue Airways,150456389.0,2013
3,1,DL,Delta Air Lines Inc.,725140403.0,2013
4,1,NK,Spirit Air Lines,50724028.0,2013
5,1,UA,United Air Lines Inc.,750409845.0,2013
6,1,WN,Southwest Airlines Co.,400589830.0,2013
7,2,AA,American Airlines Inc.,551540007.0,2013
8,2,AS,Alaska Airlines Inc.,98284051.0,2013
9,2,B6,JetBlue Airways,144052358.0,2013
10,2,DL,Delta Air Lines Inc.,646807774.0,2013
11,2,NK,Spirit Air Lines,45844843.0,2013
12,2,UA,United Air Lines Inc.,684623544.0,2013
13,2,WN,Southwest Airlines Co.,384425204.0,2013
14,3,AA,American Airlines Inc.,633882032.0,2013
15,3,AS,Alaska Airlines Inc.,111391459.0,2013
16,3,B6,JetBlue Airways,169340947.0,2013
17,3,DL,Delta Air Lines Inc.,819250282.0,2013
18,3,NK,Spirit Air Lines,51902823.0,2013
19,3,UA,United Air Lines Inc.,818899533.0,2013
20,3,WN,Southwest Airlines Co.,476221011.0,2013
21,4,AA,American Airlines Inc.,600458967.0,2013
22,4,AS,Alaska Airlines Inc.,106722803.0,2013
23,4,B6,JetBlue Airways,164151969.0,2013
24,4,DL,Delta Air Lines Inc.,761034705.0,2013
25,4,NK,Spirit Air Lines,49678483.0,2013
26,4,UA,United Air Lines Inc.,764983067.0,2013
27,4,WN,Southwest Airlines Co.,450033426.0,2013
28,5,AA,American Airlines Inc.,611071738.0,2013
29,5,AS,Alaska Airlines Inc.,112403044.0,2013
30,5,B6,JetBlue Airways,165148439.0,2013
31,5,DL,Delta Air Lines Inc.,812362254.0,2013
32,5,NK,Spirit Air Lines,52570922.0,2013
33,5,UA,United Air Lines Inc.,829488086.0,2013
34,5,WN,Southwest Airlines Co.,457296262.0,2013
35,6,AA,American Airlines Inc.,636985126.0,2013
36,6,AS,Alaska Airlines Inc.,118792607.0,2013
37,6,B6,JetBlue Airways,167956907.0,2013
38,6,DL,Delta Air Lines Inc.,862304639.0,2013
39,6,NK,Spirit Air Lines,52602684.0,2013
40,6,UA,United Air Lines Inc.,846760249.0,2013
41,6,WN,Southwest Airlines Co.,464335924.0,2013
42,7,AA,American Airlines Inc.,660121278.0,2013
43,7,AS,Alaska Airlines Inc.,123894303.0,2013
44,7,B6,JetBlue Airways,183941715.0,2013
45,7,DL,Delta Air Lines Inc.,899398564.0,2013
46,7,NK,Spirit Air Lines,54171960.0,2013
47,7,UA,United Air Lines Inc.,874045639.0,2013
48,7,WN,Southwest Airlines Co.,485667604.0,2013
49,8,AA,American Airlines Inc.,620134995.0,2013
50,8,AS,Alaska Airlines Inc.,122425446.0,2013
51,8,B6,JetBlue Airways,185661349.0,2013
52,8,DL,Delta Air Lines Inc.,917927138.0,2013
53,8,NK,Spirit Air Lines,67341863.0,2013
54,8,UA,United Air Lines Inc.,845947954.0,2013
55,8,WN,Southwest Airlines Co.,444702657.0,2013
56,9,AA,American Airlines Inc.,559901268.0,2013
57,9,AS,Alaska Airlines Inc.,104041662.0,2013
58,9,B6,JetBlue Airways,148438064.0,2013
59,9,DL,Delta Air Lines Inc.,788162073.0,2013
60,9,NK,Spirit Air Lines,50063393.0,2013
61,9,UA,United Air Lines Inc.,730907298.0,2013
62,9,WN,Southwest Airlines Co.,404510280.0,2013
63,10,AA,American Airlines Inc.,544022595.0,2013
64,10,AS,Alaska Airlines Inc.,97605866.0,2013
65,10,B6,JetBlue Airways,145652930.0,2013
66,10,DL,Delta Air Lines Inc.,748749697.0,2013
67,10,NK,Spirit Air Lines,47034106.0,2013
68,10,UA,United Air Lines Inc.,716363425.0,2013
69,10,WN,Southwest Airlines Co.,396034507.0,2013
70,11,AA,American Airlines Inc.,482203233.0,2013
71,11,AS,Alaska Airlines Inc.,93416522.0,2013
72,11,B6,JetBlue Airways,142058759.0,2013
73,11,DL,Delta Air Lines Inc.,684354539.0,2013
74,11,NK,Spirit Air Lines,46836251.0,2013
75,11,UA,United Air Lines Inc.,604871787.0,2013
76,11,WN,Southwest Airlines Co.,367236988.0,2013
77,12,AA,American Airlines Inc.,455909078.0,2013
78,12,AS,Alaska Airlines Inc.,85764324.0,2013
79,12,B6,JetBlue Airways,148063090.0,2013
